,JM5048,JM5049,JM5050,JL5534,JL5535,JL5536,JL5537,JL5539,JL5541,JL5542,JL5543,JM8119,JM4501,JM4502,JM4503,JM4498,JM4499,JM9402,JM9401,JM9403,JM4508,JM4509,JM4510,JM9146,JM9375,JM9145,JM9409,JM9407,JM9408,JM4504,JM4505,JM4495,JM4496,JM4497,JL5544,JL5545,JL5546,JM9379,JM9377,JM9378,JM0014,JM9400,JM8464,JM8465,JM8466,JM8467,JM4492,JM4493,JM4494,JM4487,JM4488,JM4489,JM4490,JM4491,JM5051,JM5052,JM4506,JM4507,JM9405,JM9654,JM9655,JM4511,JM4512,JM4513,JM4515,JM4517,JM5053
JM5048,0.0,0.21529358215748748,0.0,0.2414656349567592,0.16181156121984525,0.15817023213472917,0.15817023213472917,0.16181156121984525,0.16181156121984525,0.16522530723714154,0.19572143832498862,0.25170687300864814,0.23623122439690486,0.229631315430132,0.21574874829312699,0.298133818843878,0.2091488393263541,0.1854802002730997,0.19162494310423306,0.19162494310423306,0.22530723714155668,0.17933545744196633,0.1863905325443787,0.1306326809285389,0.1306326809285389,0.12630860263996357,0.20459717796995905,0.24214838416021847,0.16090122894856623,0.162949476558944,0.23190714610832955,0.13654984069185253,0.11060537096040055,0.1993627674101047,0.1579426490669094,0.1800182066454256,0.2360036413290851,0.23623122439690486,0.1800182066454256,0.1800182066454256,0.21051433773327263,0.19139736003641328,0.27309968138370505,0.1725079654073737,0.20414201183431951,0.14542558033682293,0.2225762403277196,0.2225762403277196,0.24465179790623579,0.3418297678652708,0.11970869367319072,0.13040509786071916,0.3418297678652708,0.19549385525716886,0.28607191624943107,0.2578516158397815,0.26422394173873465,0.26172052799271733,0.23987255348202094,0.2371415566681839,0.1624943104233045,0.16454255803368228,0.25625853436504326,0.22098315885298134,0.19617660446062812,0.24374146563495677,0.1397360036413291
JM5049,0.21529358215748748,0.0,0.21529358215748748,0.22007282658170232,0.15680473372781065,0.13450159308147475,0.13450159308147475,0.15680473372781065,0.15680473372781065,0.1579426490669094,0.24351388256713702,0.20619025944469732,0.1624943104233045,0.15225307237141555,0.15885298133818843,0.21802457897132455,0.23918980427856168,0.1326809285389167,0.1948111060537096,0.1948111060537096,0.22576240327719618,0.10650887573964497,0.1162949476558944,0.1306326809285389,0.1306326809285389,0.15134274010013654,0.24237596722803822,0.19344560764679108,0.19685935366408738,0.10969503868912153,0.1868456986800182,0.17205279927173417,0.17159763313609466,0.08284023668639054,0.15339098771051435,0.22690031861629495,0.20641784251251707,0.20664542558033683,0.22690031861629495,0.22690031861629495,0.2401001365498407,0.15725989986345015,0.2498862084660901,0.1306326809285389,0.2127901684114702,0.16317705962676377,0.20573509330905781,0.20573509330905781,0.2360036413290851,0.23532089212562585,0.15521165225307237,0.12357760582612654,0.23532089212562585,0.10081929904415111,0.1804733727810651,0.23281747837960856,0.24692762858443332,0.24806554392353208,0.2162039144287665,0.1843422849340009,0.20664542558033683,0.12585343650432407,0.2266727355484752,0.19367319071461084,0.19708693673190714,0.2350933090578061,0.13700500682749203
JM5050,0.0,0.21529358215748748,0.0,0.2414656349567592,0.16181156121984525,0.15817023213472917,0.15817023213472917,0.16181156121984525,0.16181156121984525,0.16522530723714154,0.19572143832498862,0.25170687300864814,0.23623122439690486,0.229631315430132,0.21574874829312699,0.298133818843878,0.2091488393263541,0.1854802002730997,0.19162494310423306,0.19162494310423306,0.22530723714155668,0.17933545744196633,0.1863905325443787,0.1306326809285389,0.1306326809285389,0.12630860263996357,0.20459717796995905,0.24214838416021847,0.16090122894856623,0.162949476558944,0.23190714610832955,0.13654984069185253,0.11060537096040055,0.1993627674101047,0.1579426490669094,0.1800182066454256,0.2360036413290851,0.23623122439690486,0.1800182066454256,0.1800182066454256,0.21051433773327263,0.19139736003641328,0.27309968138370505,0.1725079654073737,0.20414201183431951,0.14542558033682293,0.2225762403277196,0.2225762403277196,0.24465179790623579,0.3418297678652708,0.11970869367319072,0.13040509786071916,0.3418297678652708,0.19549385525716886,0.28607191624943107,0.2578516158397815,0.26422394173873465,0.26172052799271733,0.23987255348202094,0.2371415566681839,0.1624943104233045,0.16454255803368228,0.25625853436504326,0.22098315885298134,0.19617660446062812,0.24374146563495677,0.1397360036413291
JL5534,0.2414656349567592,0.22007282658170232,0.2414656349567592,0.0,0.22030040964952208,0.11470186618115612,0.11470186618115612,0.22030040964952208,0.22030040964952208,0.15498406918525262,0.2519344560764679,0.21552116522530723,0.1868456986800182,0.17751479289940827,0.23827947200728267,0.27469276285844335,0.24260355029585798,0.15020482476103778,0.21643149749658624,0.21643149749658624,0.06804733727810651,0.14041875284478836,0.14610832954028222,0.15680473372781065,0.15680473372781065,0.18798361401911698,0.11151570323167956,0.19594902139280837,0.22075557578516158,0.17956304050978608,0.13199817933545743,0.21005917159763313,0.2023213472917615,0.24419663177059628,0.17774237596722803,0.24487938097405554,0.21483841602184797,0.21461083295402822,0.24487938097405554,0.24487938097405554,0.24351388256713702,0.2312243969048703,0.10946745562130178,0.14997724169321802,0.22075557578516158,0.1843422849340009,0.21643149749658624,0.21643149749658624,0.059626763768775605,0.20004551661356396,0.1868456986800182,0.15885298133818843,0.20004551661356396,0.22894856622667273,0.2507965407373691,0.07055075102412381,0.33773327264451525,0.0671370050068275,0.05211652253072371,0.19685935366408738,0.20505234410559856,0.13245334547109694,0.07168866636322258,0.21210741920801093,0.20960400546199362,0.059626763768775605,0.1649977241693218
JL5535,0.16181156121984525,0.15680473372781065,0.16181156121984525,0.22030040964952208,0.0,0.1406463359126081,0.1406463359126081,0.0,0.0,0.11902594446973146,0.22371415566681838,0.2127901684114702,0.19913518434228494,0.20573509330905781,0.11766044606281292,0.22644515248065544,0.22030040964952208,0.13928083750568956,0.2355484751934456,0.2355484751934456,0.2141556668183887,0.16135639508420574,0.17023213472917614,0.09035047792444242,0.09035047792444242,0.07328174783796086,0.19208010923987257,0.2091488393263541,0.1725079654073737,0.11675011379153391,0.1679563040509786,0.16818388711879836,0.12903959945380064,0.17182521620391442,0.1385980883022303,0.20254893035958124,0.19071461083295402,0.19094219390077377,0.20254893035958124,0.20254893035958124,0.2216659080564406,0.09467455621301775,0.25466545289030496,0.12994993172507965,0.16841147018661812,0.17979062357760583,0.175011379153391,0.175011379153391,0.20254893035958124,0.25284478834774693,0.05894401456531634,0.08784706417842512,0.25284478834774693,0.11561219845243514,0.17387346381429222,0.19071461083295402,0.2535275375512062,0.22325898953117887,0.23236231224396905,0.17364588074647247,0.12494310423304505,0.14565316340464268,0.19549385525716886,0.18206645425580337,0.19458352298588985,0.20209376422394174,0.12812926718252163
JL5536,0.15817023213472917,0.13450159308147475,0.15817023213472917,0.11470186618115612,0.1406463359126081,0.0,0.0,0.1406463359126081,0.1406463359126081,0.0785161583978152,0.19276285844333182,0.23190714610832955,0.12175694128356851,0.10286754665452891,0.15771506599908966,0.2364588074647246,0.19845243513882568,0.08466090122894857,0.15043240782885753,0.15043240782885753,0.1540737369139736,0.05985434683659536,0.0650887573964497,0.07168866636322258,0.07168866636322258,0.108329540282203,0.20254893035958124,0.1527082385070551,0.1520254893035958,0.1108329540282203,0.14428766499772416,0.15452890304961311,0.11811561219845243,0.15179790623577605,0.09353664087391898,0.18206645425580337,0.16568047337278108,0.1654528903049613,0.18206645425580337,0.18206645425580337,0.1993627674101047,0.15521165225307237,0.1973145197997269,0.07624032771961765,0.162039144287665,0.09057806099226218,0.1649977241693218,0.1649977241693218,0.14474283113336367,0.2578516158397815,0.10127446517979062,0.07510241238051889,0.2578516158397815,0.14974965862539827,0.19708693673190714,0.14565316340464268,0.28356850250341376,0.16090122894856623,0.12494310423304505,0.1436049157942649,0.13495675921711425,0.044151115157032315,0.14815657715066,0.15293582157487484,0.149066909421939,0.14383249886208466,0.09262630860263997
JL5537,0.15817023213472917,0.13450159308147475,0.15817023213472917,0.11470186618115612,0.1406463359126081,0.0,0.0,0.1406463359126081,0.1406463359126081,0.0785161583978152,0.19276285844333182,0.23190714610832955,0.12175694128356851,0.10286754665452891,0.15771506599908966,0.2364588074647246,0.19845243513882568,0.08466090122894857,0.15043240782885753,0.15043240782885753,0.1540737369139736,0.05985434683659536,0.0650887573964497,0.07168866636322258,0.07168866636322258,0.108329540282203,0.20254893035958124,0.1527082385070551,0.1520254893035958,0.1108329540282203,0.14428766499772416,0.15452890304961311,0.11811561219845243,0.15179790623577605,0.09353664087391898,0.18206645425580337,0.16568047337278108,0.1654528903049613,0.18206645425580337,0.18206645425580337,0.1993627674101047,0.15521165225307237,0.1973145197997269,0.07624032771961765,0.162039144287665,0.09057806099226218,0.1649977241693218,0.1649977241693218,0.14474283113336367,0.2578516158397815,0.10127446517979062,0.07510241238051889,0.2578516158397815,0.14974965862539827,0.19708693673190714,0.14565316340464268,0.28356850250341376,0.16090122894856623,0.12494310423304505,0.1436049157942649,0.13495675921711425,0.044151115157032315,0.14815657715066,0.15293582157487484,0.149066909421939,0.14383249886208466,0.09262630860263997
JL5539,0.16181156121984525,0.15680473372781065,0.16181156121984525,0.22030040964952208,0.0,0.1406463359126081,0.1406463359126081,0.0,0.0,0.11902594446973146,0.22371415566681838,0.2127901684114702,0.19913518434228494,0.20573509330905781,0.11766044606281292,0.22644515248065544,0.22030040964952208,0.13928083750568956,0.2355484751934456,0.2355484751934456,0.2141556668183887,0.16135639508420574,0.17023213472917614,0.09035047792444242,0.09035047792444242,0.07328174783796086,0.19208010923987257,0.2091488393263541,0.1725079654073737,0.11675011379153391,0.1679563040509786,0.16818388711879836,0.12903959945380064,0.17182521620391442,0.1385980883022303,0.20254893035958124,0.19071461083295402,0.19094219390077377,0.20254893035958124,0.20254893035958124,0.2216659080564406,0.09467455621301775,0.25466545289030496,0.12994993172507965,0.16841147018661812,0.17979062357760583,0.175011379153391,0.175011379153391,0.20254893035958124,0.25284478834774693,0.05894401456531634,0.08784706417842512,0.25284478834774693,0.11561219845243514,0.17387346381429222,0.19071461083295402,0.2535275375512062,0.22325898953117887,0.23236231224396905,0.17364588074647247,0.12494310423304505,0.14565316340464268,0.19549385525716886,0.18206645425580337,0.19458352298588985,0.20209376422394174,0.12812926718252163
JL5541,0.16181156121984525,0.15680473372781065,0.16181156121984525,0.22030040964952208,0.0,0.1406463359126081,0.1406463359126081,0.0,0.0,0.11902594446973146,0.22371415566681838,0.2127901684114702,0.19913518434228494,0.20573509330905781,0.11766044606281292,0.22644515248065544,0.22030040964952208,0.13928083750568956,0.2355484751934456,0.2355484751934456,0.2141556668183887,0.16135639508420574,0.17023213472917614,0.09035047792444242,0.09035047792444242,0.07328174783796086,0.19208010923987257,0.2091488393263541,0.1725079654073737,0.11675011379153391,0.1679563040509786,0.16818388711879836,0.12903959945380064,0.17182521620391442,0.1385980883022303,0.20254893035958124,0.19071461083295402,0.19094219390077377,0.20254893035958124,0.20254893035958124,0.2216659080564406,0.09467455621301775,0.25466545289030496,0.12994993172507965,0.16841147018661812,0.17979062357760583,0.175011379153391,0.175011379153391,0.20254893035958124,0.25284478834774693,0.05894401456531634,0.08784706417842512,0.25284478834774693,0.11561219845243514,0.17387346381429222,0.19071461083295402,0.2535275375512062,0.22325898953117887,0.23236231224396905,0.17364588074647247,0.12494310423304505,0.14565316340464268,0.19549385525716886,0.18206645425580337,0.19458352298588985,0.20209376422394174,0.12812926718252163
JL5542,0.16522530723714154,0.1579426490669094,0.16522530723714154,0.15498406918525262,0.11902594446973146,0.0785161583978152,0.0785161583978152,0.11902594446973146,0.11902594446973146,0.0,0.13791533909877104,0.19617660446062812,0.13336367774237598,0.13450159308147475,0.1251706873008648,0.2052799271734183,0.19412835685025034,0.05757851615839781,0.1615839781520255,0.1615839781520255,0.15885298133818843,0.07737824305871643,0.07396449704142012,0.04688211197086937,0.04688211197086937,0.0789713245334547,0.1813837050523441,0.15430131998179336,0.12994993172507965,0.0700955848884843,0.10719162494310423,0.15566681838871188,0.09968138370505235,0.18661811561219846,0.1133363677742376,0.15498406918525262,0.1477014110150205,0.14792899408284024,0.15498406918525262,0.15498406918525262,0.19503868912152936,0.14588074647246244,0.20983158852981337,0.07419208010923987,0.1431497496586254,0.10491579426490669,0.12608101957214382,0.12608101957214382,0.13222576240327719,0.20345926263086025,0.08375056895766955,0.05894401456531634,0.20345926263086025,0.13450159308147475,0.1804733727810651,0.16590805644060083,0.2769685935366409,0.1670459717796996,0.162039144287665,0.108329540282203,0.07919890760127446,0.0621301775147929,0.18297678652708238,0.1326809285389167,0.15339098771051435,0.13177059626763768,0.10969503868912153
